fullname,raceChar,pleaSuccess,n,prop
Chou Marta M.,Non-white,0,21,0.14383561643835616
Chou Marta M.,Non-white,1,125,0.8561643835616438
Chou Marta M.,White,0,10,0.1111111111111111
Chou Marta M.,White,1,80,0.8888888888888888
Christensen David E.,Non-white,0,46,0.41818181818181815
Christensen David E.,Non-white,1,64,0.5818181818181818
Christensen David E.,White,0,106,0.24651162790697675
Christensen David E.,White,1,324,0.7534883720930232
Christian Casey J.,Non-white,0,92,0.4577114427860697
Christian Casey J.,Non-white,1,109,0.5422885572139303
Christian Casey J.,White,0,113,0.2435344827586207
Christian Casey J.,White,1,351,0.7564655172413793
Christopherso Bruce W.,Non-white,0,35,0.4069767441860465
Christopherso Bruce W.,Non-white,1,51,0.5930232558139535
Christopherso Bruce W.,White,0,80,0.3389830508474576
Christopherso Bruce W.,White,1,156,0.6610169491525424
Christopherson Bruce W.,Non-white,1,1,1
Christopherson Bruce W.,White,0,2,0.5
Christopherson Bruce W.,White,1,2,0.5
Chu Regina M.,Non-white,0,243,0.32926829268292684
Chu Regina M.,Non-white,1,495,0.6707317073170732
Chu Regina M.,White,0,78,0.21081081081081082
Chu Regina M.,White,1,292,0.7891891891891892
Churchwell Timothy M.,Non-white,0,2,0.13333333333333333
Churchwell Timothy M.,Non-white,1,13,0.8666666666666667
Churchwell Timothy M.,White,0,33,0.22602739726027396
Churchwell Timothy M.,White,1,113,0.773972602739726
Clark Douglas B.,Non-white,0,6,0.5454545454545454
Clark Douglas B.,Non-white,1,5,0.45454545454545453
Clark Douglas B.,White,0,8,0.16
Clark Douglas B.,White,1,42,0.84
Clark Lawrence F.,Non-white,0,28,0.19047619047619047
Clark Lawrence F.,Non-white,1,119,0.8095238095238095
Clark Lawrence F.,White,0,64,0.19692307692307692
Clark Lawrence F.,White,1,261,0.803076923076923
Clark Michelle L.,Non-white,0,2,0.25
Clark Michelle L.,Non-white,1,6,0.75
Clark Michelle L.,White,0,9,0.21951219512195122
Clark Michelle L.,White,1,32,0.7804878048780488
"Clark, Jr. James H.",Non-white,0,175,0.27559055118110237
"Clark, Jr. James H.",Non-white,1,460,0.7244094488188977
"Clark, Jr. James H.",White,0,86,0.2087378640776699
"Clark, Jr. James H.",White,1,326,0.7912621359223301
Cleary Edward J.,Non-white,0,114,0.3573667711598746
Cleary Edward J.,Non-white,1,205,0.6426332288401254
Cleary Edward J.,White,0,42,0.1794871794871795
Cleary Edward J.,White,1,192,0.8205128205128205
Clifford James,Non-white,0,2,0.6666666666666666
Clifford James,Non-white,1,1,0.3333333333333333
Clifford James,White,0,6,0.35294117647058826
Clifford James,White,1,11,0.6470588235294118
Clifford James R.,Non-white,0,3,0.5
Clifford James R.,Non-white,1,3,0.5
Clifford James R.,White,0,2,0.09090909090909091
Clifford James R.,White,1,20,0.9090909090909091
Cohen Lawrence,Non-white,0,7,0.28
Cohen Lawrence,Non-white,1,18,0.72
Cohen Lawrence,White,0,6,0.24
Cohen Lawrence,White,1,19,0.76
Cohen Lawrence D.,Non-white,0,21,0.20588235294117646
Cohen Lawrence D.,Non-white,1,81,0.7941176470588235
Cohen Lawrence D.,White,0,18,0.21951219512195122
Cohen Lawrence D.,White,1,64,0.7804878048780488
Collins Larry,Non-white,0,1,1
Collins Larry M.,Non-white,0,23,0.25
Collins Larry M.,Non-white,1,69,0.75
Collins Larry M.,White,0,70,0.175
Collins Larry M.,White,1,330,0.825
Collins Lawrence,White,1,1,1
Collins Lawrence T.,Non-white,0,22,0.3793103448275862
Collins Lawrence T.,Non-white,1,36,0.6206896551724138
Collins Lawrence T.,White,0,44,0.22110552763819097
Collins Lawrence T.,White,1,155,0.7788944723618091
Conkel Terrence E.,Non-white,0,47,0.25
Conkel Terrence E.,Non-white,1,141,0.75
Conkel Terrence E.,White,0,108,0.15494978479196556
Conkel Terrence E.,White,1,589,0.8450502152080345
Connell Timothy K.,Non-white,0,37,0.2356687898089172
Connell Timothy K.,Non-white,1,120,0.7643312101910829
Connell Timothy K.,White,0,53,0.225531914893617
Connell Timothy K.,White,1,182,0.774468085106383
Connolly Francis J.,Non-white,0,42,0.4883720930232558
Connolly Francis J.,Non-white,1,44,0.5116279069767442
Connolly Francis J.,White,0,14,0.4117647058823529
Connolly Francis J.,White,1,20,0.5882352941176471
Connolly John S.,Non-white,0,14,0.28
Connolly John S.,Non-white,1,36,0.72
